Symbol,Company Name,Exchange,Yr. High,Yr. Low,Close,Stop,Support,Volume,Avg Vol,Opinion,Score,C-Rate
CROX,Crocs Inc,NMS,183.88,65.37,122.60,140.35,0.00,31737,21839,AVOID,0,-15.1
CRS,Carpenter Technology,NYSE,49.20,26.84,32.30,27.71,29.18,2663,3690,LONG,0,7.0
CVLT,Commvault Systems,NMS,84.22,56.53,69.49,64.00,66.10,2588,2512,LONG,0,0.6
DAL,Delta Air Lines,NYSE,52.28,33.40,40.63,36.15,37.53,122702,121642,LONG,0,9.5
DD,Dupont(e.i.)denemours,NYSE,86.28,66.37,81.97,76.68,75.00,21887,22757,LONG,0,7.4
DOCU,Docusign Inc,NMS,314.76,126.91,136.23,160.23,0.00,70098,49337,AVOID,0,0.0
DVN,Devon Energy Corp,NYSE,49.75,16.10,48.50,40.38,0.00,97054,111499,NEUTRAL,-1,0.0
FCX,Freeport Mcmoran Cpr,NYSE,46.10,24.71,41.62,37.56,40.99,115802,143617,LONG,-1,1.7
FDX,Fedex Corporation,NYSE,319.90,216.34,256.55,247.23,0.00,45187,24663,LONG,0,0.0
FICO,Fair Isaac,NYSE,553.97,342.89,440.19,416.28,0.00,2978,2769,LONG,0,4.3
FIS,Fidelity Natl Info,NYSE,155.96,101.79,116.37,109.99,0.00,57269,37860,NEUTRAL,3,0.0
FIVE,Five Below,NMS,237.86,165.25,179.73,203.99,0.00,19676,7041,LONG,-3,0.0
GD,General Dynamics Cor,NYSE,214.70,146.53,210.61,199.64,205.42,12102,9919,NEUTRAL,-1,0.0
GOOG,Alphabet Inc.,NMS,3037.00,1721.55,2771.48,2971.95,0.00,16452,11354,AVOID,0,-3.3
GS,Goldman Sachs Group,NYSE,426.16,270.62,399.17,400.34,0.00,29800,26508,AVOID,1,-0.5
HSBC,H S B C Holdings Plc,NYSE,33.40,24.31,33.33,28.97,29.88,29168,24042,LONG,-1,0.9
INTU,Intuit,NMS,716.86,359.33,570.19,659.34,0.00,27182,16245,AVOID,0,-5.3
KNX,Knight Transportatio,NYSE,62.29,39.17,57.95,56.50,57.78,11143,11887,LONG,-2,0.1
LEN,Lennar Corp,NYSE,117.54,74.70,104.03,104.34,0.00,26672,27682,LONG,-3,0.6
LH,Laboratory Corp Of A,NYSE,317.17,212.85,291.62,291.06,283.34,6980,8549,LONG,-1,2.8
LITE,Lumentum Holdings,NMS,108.90,65.67,106.09,101.74,87.92,5593,7096,LONG,0,0.0
LMT,Lockheed Martin,NYSE,396.99,319.81,363.25,343.77,339.04,17635,13849,NEUTRAL,3,0.0
LULU,Lululemon Athletica,NMS,485.83,269.28,348.43,406.50,0.00,41772,15120,AVOID,0,-5.1
LUV,Southwest Airlines C,NYSE,64.75,38.66,45.24,43.77,43.81,75287,94516,NEUTRAL,3,0.0
MANH,Manhattan Associates,NMS,188.52,110.11,140.88,158.31,0.00,2730,2797,AVOID,0,-6.7
MKSI,Mks Instruments Inc,NMS,199.44,138.70,169.33,157.16,156.48,4131,4019,LONG,0,0.0
MSFT,Microsoft Corp,NMS,349.67,212.03,314.27,329.26,0.00,428159,278260,NEUTRAL,-4,0.0
MTH,Meritage Homes Corp,NYSE,125.01,79.00,107.79,111.98,0.00,3129,3592,LONG,-4,0.0
NEWR,New Relic,NYSE,129.70,51.52,103.68,106.57,96.21,6595,7139,LONG,-2,0.0
NICE,Nice Systems Adr,NMS,319.88,211.25,274.45,283.97,286.24,2691,2320,LONG,-4,0.0
NOC,Northrop Grumman Cor,NYSE,408.03,282.88,402.23,367.40,389.71,9893,6991,NEUTRAL,3,0.0
NOW,Servicenow Inc,NYSE,707.60,448.27,572.00,668.14,0.00,17689,12978,AVOID,0,0.0
NWSA,News Corp Cl A,NMS,27.97,18.29,22.23,23.03,22.13,30372,25361,NEUTRAL,2,0.0
OLN,Olin Corp,NYSE,64.76,22.76,52.88,59.63,51.15,12117,16664,AVOID,0,-4.3
ORAN,Orange Ads,NYSE,13.09,9.85,10.93,11.06,0.00,10762,12908,NEUTRAL,2,0.0
PBI,Pitney Bowes,NYSE,15.50,6.23,6.47,7.39,6.65,14583,18307,AVOID,1,-0.2
PEGA,Pegasystems,NMS,148.80,94.47,98.69,116.38,0.00,2645,3952,AVOID,1,0.0
PEP,Pepsico,NYSE,175.84,128.32,174.17,167.26,159.35,48636,40513,LONG,0,0.0
PFE,Pfizer Inc,NYSE,61.71,33.36,56.24,54.39,55.98,329995,484514,LONG,0,0.0
PTC,Parametric Tech Corp,NMS,153.73,105.49,114.54,114.74,0.00,7954,6616,LONG,-3,0.0
PWR,Quanta Services,NYSE,124.69,69.84,107.77,116.81,0.00,13509,9276,AVOID,0,-1.8
PZZA,Papa Johns Intl,NMS,140.68,78.41,127.07,126.19,122.56,5484,3414,LONG,-1,2.7
R,Ryder System Inc,NYSE,93.05,61.36,77.81,84.06,0.00,4925,4977,AVOID,0,-4.2
RHI,Robert Half Intl,NYSE,120.83,63.26,110.35,114.74,111.85,11270,6788,NEUTRAL,-4,0.0
ROKU,Roku Inc 'A',NMS,490.76,173.56,182.96,241.78,0.00,56416,61233,NEUTRAL,0,0.0
SHOP,Shopify Inc,NYSE,1762.92,1005.14,1131.17,1457.50,0.00,21050,12365,AVOID,0,-0.6
SNPS,Synopsys,NMS,377.60,217.69,329.63,339.50,329.38,9619,7781,LONG,-3,0.0
SPR,Spirit Aerosystems,NYSE,53.63,32.93,46.53,39.65,0.00,13148,15190,LONG,0,11.1
SUM,Summit Materials,NYSE,41.46,20.49,37.78,37.20,0.00,5426,4567,LONG,-2,0.7
SWK,Stanley Black & Deck,NYSE,225.00,168.77,188.09,176.95,180.98,9113,11117,LONG,-1,2.7
TDOC,Teladoc Inc,NYSE,308.00,76.14,82.18,98.67,0.00,54722,39346,AVOID,0,0.0
TEAM,Atlassian Corp'a',NMS,483.13,198.80,312.98,392.24,0.00,30055,17502,AVOID,0,0.0
TECK,Teck Resources'b',NYSE,31.22,17.31,31.20,28.79,25.91,48434,27711,NEUTRAL,3,0.0
TJX,T J X Companies,NYSE,77.35,61.15,72.49,71.55,72.14,78726,55207,LONG,0,4.9
TMUS,T-mobile Us,NYSE,150.20,104.10,105.74,113.75,0.00,89558,50323,LONG,-2,0.0
TRGP,Targa Resources,NYSE,58.18,26.65,54.57,53.86,0.00,12831,13649,AVOID,1,-2.6
TSLA,Tesla Motors,NMS,1243.49,539.49,1058.12,987.14,0.00,297803,249732,LONG,-3,0.0
TTD,Trade Desk 'A',NMS,114.09,46.71,81.00,91.21,0.00,69398,37431,LONG,-3,0.2
TWLO,Twilio Inc 'A',NYSE,457.30,217.69,227.52,278.48,0.00,43208,22167,AVOID,0,0.0
UNH,Unitedhealth Group,NYSE,509.23,320.35,465.00,474.76,480.53,56592,30844,LONG,-3,3.0
UPS,United Parcel Serv,NYSE,220.24,154.76,211.73,206.56,203.91,26231,23579,LONG,-2,4.7
VFC,V F Corp,NYSE,90.79,65.34,71.04,76.00,0.00,26908,24647,NEUTRAL,0,0.0
VTI,Vanguard Total Mkt,AMEX,244.06,192.82,235.70,237.95,233.84,58130,40739,LONG,-4,0.0
